,City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Long
0,Tasiilaq,GL,1584217467,5.0,65,20,1.12,65.61,-37.64
1,Auki,SB,1584217467,84.33,79,100,15.88,-8.77,160.7
2,Hervey Bay,AU,1584217468,66.99,82,90,5.82,-25.3,152.85
3,Airai,TL,1584217468,63.99,83,18,2.91,-8.93,125.41
4,Salalah,OM,1584217469,77.0,61,75,8.05,17.02,54.09
5,Kapaa,US,1584217469,75.2,60,1,9.17,22.08,-159.32
6,Ust'-Koksa,RU,1584217470,18.63,88,100,10.29,50.27,85.61
7,Ilebo,CD,1584217359,72.63,89,100,1.61,-4.32,20.58
8,Bluff,NZ,1584217471,54.0,84,100,3.0,-46.6,168.33
9,Hofn,IS,1584217472,31.77,66,100,22.03,64.25,-15.21
10,Port Alfred,ZA,1584217472,68.0,88,92,3.0,-33.59,26.89
11,Hasaki,JP,1584217472,33.8,100,75,4.7,35.73,140.83
12,El Arenal,MX,1584217473,91.99,20,20,5.82,20.78,-103.7
13,Barrow,US,1584217473,12.2,92,90,34.45,71.29,-156.79
14,Lebu,CL,1584217474,62.73,55,0,13.42,-37.62,-73.65
15,Arica,CL,1584217425,78.8,57,4,16.11,-18.48,-70.3
16,Lorengau,PG,1584217475,83.79,78,100,12.21,-2.02,147.27
17,Jamestown,US,1584217476,39.99,59,1,6.93,42.1,-79.24
18,Busselton,AU,1584217476,66.0,98,98,10.11,-33.65,115.33
19,Okhotsk,RU,1584217476,0.99,87,100,5.95,59.38,143.3
20,Butaritari,KI,1584217477,83.61,70,100,9.13,3.07,172.79
21,Flin Flon,CA,1584217477,8.6,50,90,4.7,54.77,-101.86
22,Asău,RO,1584217478,44.6,48,75,9.17,46.43,26.4
23,Havøysund,NO,1584217478,19.4,67,100,34.45,71.0,24.66
24,Dikson,RU,1584217391,-15.75,99,57,11.54,73.51,80.55
25,Turki,RU,1584217480,33.75,91,0,10.78,51.99,43.27
26,Ushuaia,AR,1584217272,55.4,47,20,6.93,-54.8,-68.3
27,Te Anau,NZ,1584217481,51.03,69,100,2.48,-45.42,167.72
28,Port-Cartier,CA,1584217481,32.0,77,75,10.29,50.03,-66.87
29,Hong Kong,HK,1584217482,69.01,56,20,9.17,22.29,114.16
30,Rikitea,PF,1584217482,77.67,80,0,13.69,-23.12,-134.97
31,Port Elizabeth,ZA,1584217482,66.2,88,20,12.75,-33.92,25.57
32,Mayumba,GA,1584217483,83.79,82,100,5.75,-3.43,10.66
33,Carnarvon,AU,1584217483,77.0,83,75,9.17,-24.87,113.63
34,Kachīry,KZ,1584217484,35.37,95,100,16.44,53.07,76.1
35,Hobart,AU,1584217462,53.01,81,75,5.82,-42.88,147.33
36,Homer,US,1584217485,28.0,73,1,1.72,59.64,-151.55
37,Ostrovnoy,RU,1584217485,10.89,94,100,13.11,68.05,39.51
38,Castro,BR,1584217486,73.17,59,0,2.06,-24.79,-50.01
39,Port Hawkesbury,CA,1584217486,37.99,80,90,11.41,45.62,-61.35
40,Arraial do Cabo,BR,1584217487,80.6,83,40,11.41,-22.97,-42.03
41,Östersund,SE,1584217487,26.6,45,40,11.41,63.18,14.64
42,Batagay-Alyta,RU,1584217488,-29.43,84,0,4.16,67.8,130.41
43,Puerto Ayora,EC,1584217488,86.0,70,20,11.41,-0.74,-90.35
44,Vaini,TO,1584217489,82.4,83,75,13.87,-21.2,-175.2
45,Atuona,PF,1584217489,81.45,78,12,12.86,-9.8,-139.03
46,Keti Bandar,PK,1584217490,70.11,54,100,7.07,24.14,67.45
47,Albany,US,1584217490,46.0,48,40,18.34,42.6,-73.97
48,Znamenskoye,RU,1584217491,34.65,86,88,12.01,57.13,73.83
49,Tiksi,RU,1584217491,-16.11,80,0,8.46,71.69,128.87
50,Monywa,MM,1584217492,77.85,32,62,3.96,22.12,95.13
51,Busko-Zdrój,PL,1584217492,35.01,47,0,5.64,50.47,20.72
52,Hilo,US,1584217493,75.2,83,90,3.36,19.73,-155.09
53,Cabo San Lucas,MX,1584217493,82.4,42,20,19.46,22.89,-109.91
54,Usinsk,RU,1584217553,7.29,86,100,11.43,65.99,57.53
55,Alice Springs,AU,1584217554,69.8,49,90,4.7,-23.7,133.88
56,Mount Gambier,AU,1584217554,53.6,76,90,8.05,-37.83,140.77
57,Fortuna,US,1584217555,50.0,81,75,8.05,40.6,-124.16
58,East London,ZA,1584217555,73.89,78,51,8.93,-33.02,27.91
59,Vila Franca do Campo,PT,1584217556,60.8,72,20,12.75,37.72,-25.43
